randNumCol,Total Score,Max Points,Status,Submission Time,Lateness (H:M:S),View Count,Submission Count,1: Q1 (15.0 pts),2: Q2 (20.0 pts),3: Q3 (15.0 pts),4: Q4 (5.0 pts)
801925577,55.0,55.0,Graded,2022-11-17 17:14:56 -0600,00:00:00,1.0,2.0,15.0,20.0,15.0,5.0
262507520,,55.0,Missing,,,,,,,,
853470508,50.0,55.0,Graded,2022-11-17 18:57:20 -0600,00:00:00,0.0,1.0,15.0,20.0,15.0,0.0
468287725,47.0,55.0,Graded,2022-11-17 23:56:53 -0600,00:00:00,1.0,1.0,15.0,17.0,15.0,0.0
966245481,,55.0,Missing,,,,,,,,
688844688,,55.0,Missing,,,,,,,,
602558521,52.0,55.0,Graded,2022-11-17 16:39:42 -0600,00:00:00,0.0,1.0,15.0,17.0,15.0,5.0
728776101,50.0,55.0,Graded,2022-11-17 20:48:40 -0600,00:00:00,2.0,1.0,15.0,20.0,15.0,0.0
513252691,50.0,55.0,Graded,2022-11-17 19:18:36 -0600,00:00:00,6.0,2.0,15.0,20.0,15.0,0.0
798694774,,55.0,Missing,,,,,,,,
880377892,52.0,55.0,Graded,2022-11-10 21:57:52 -0600,00:00:00,1.0,1.0,15.0,17.0,15.0,5.0
140393680,,55.0,Missing,,,,,,,,
406982131,,55.0,Missing,,,,,,,,
631918976,,55.0,Missing,,,,,,,,
555782827,40.0,55.0,Graded,2022-11-17 19:34:16 -0600,00:00:00,8.0,1.0,15.0,20.0,0.0,5.0
556717963,,55.0,Missing,,,,,,,,
213555276,,55.0,Missing,,,,,,,,
357999413,50.0,55.0,Graded,2022-11-17 01:48:53 -0600,00:00:00,1.0,1.0,15.0,20.0,15.0,0.0
429099317,,55.0,Missing,,,,,,,,
429099317,,55.0,Missing,,,,,,,,
429099317,,55.0,Missing,,,,,,,,
429099317,,55.0,Missing,,,,,,,,
429099317,,55.0,Missing,,,,,,,,
429099317,,55.0,Missing,,,,,,,,
429099317,,55.0,Missing,,,,,,,,
759999244,,55.0,Missing,,,,,,,,
759999244,,55.0,Missing,,,,,,,,
759999244,,55.0,Missing,,,,,,,,
759999244,,55.0,Missing,,,,,,,,
759999244,,55.0,Missing,,,,,,,,
759999244,,55.0,Missing,,,,,,,,
759999244,,55.0,Missing,,,,,,,,
963037118,,55.0,Missing,,,,,,,,
963037118,,55.0,Missing,,,,,,,,
963037118,,55.0,Missing,,,,,,,,
963037118,,55.0,Missing,,,,,,,,
963037118,,55.0,Missing,,,,,,,,
963037118,,55.0,Missing,,,,,,,,
963037118,,55.0,Missing,,,,,,,,
649911435,,55.0,Missing,,,,,,,,
649911435,,55.0,Missing,,,,,,,,
649911435,,55.0,Missing,,,,,,,,
649911435,,55.0,Missing,,,,,,,,
649911435,,55.0,Missing,,,,,,,,
649911435,,55.0,Missing,,,,,,,,
649911435,,55.0,Missing,,,,,,,,
981776346,,55.0,Missing,,,,,,,,
981776346,,55.0,Missing,,,,,,,,
981776346,,55.0,Missing,,,,,,,,
981776346,,55.0,Missing,,,,,,,,
981776346,,55.0,Missing,,,,,,,,
981776346,,55.0,Missing,,,,,,,,
981776346,,55.0,Missing,,,,,,,,
490690273,,55.0,Missing,,,,,,,,
490690273,,55.0,Missing,,,,,,,,
490690273,,55.0,Missing,,,,,,,,
490690273,,55.0,Missing,,,,,,,,
490690273,,55.0,Missing,,,,,,,,
490690273,,55.0,Missing,,,,,,,,
490690273,,55.0,Missing,,,,,,,,
208303123,,55.0,Missing,,,,,,,,
208303123,,55.0,Missing,,,,,,,,
208303123,,55.0,Missing,,,,,,,,
208303123,,55.0,Missing,,,,,,,,
208303123,,55.0,Missing,,,,,,,,
208303123,,55.0,Missing,,,,,,,,
208303123,,55.0,Missing,,,,,,,,
215542326,50.0,55.0,Graded,2022-11-17 20:39:46 -0600,00:00:00,12.0,1.0,15.0,20.0,15.0,0.0
